Dates,Occupancy
25-01-2020,15
26-01-2020,22
27-01-2020,12
28-01-2020,12
29-01-2020,19
30-01-2020,14
31-01-2020,19
01-02-2020,9
02-02-2020,14
03-02-2020,12
04-02-2020,16
05-02-2020,11
06-02-2020,13
07-02-2020,24
08-02-2020,22
09-02-2020,26
10-02-2020,25
11-02-2020,29
12-02-2020,17
13-02-2020,23
14-02-2020,38
15-02-2020,30
16-02-2020,10
17-02-2020,10
18-02-2020,24
19-02-2020,15
20-02-2020,7
21-02-2020,51
22-02-2020,18
23-02-2020,39
24-02-2020,34
25-02-2020,27
26-02-2020,18
27-02-2020,32
28-02-2020,32
29-02-2020,47
01-03-2020,18
02-03-2020,13
03-03-2020,10
04-03-2020,9
05-03-2020,6
08-03-2020,10
09-03-2020,17
10-03-2020,18
11-03-2020,20
12-03-2020,9
15-03-2020,9
16-03-2020,8
17-03-2020,14
18-03-2020,6
19-03-2020,1
23-03-2020,3
24-03-2020,6
25-03-2020,5
27-03-2020,1
28-03-2020,1
10-04-2020,1
11-04-2020,2
22-04-2020,1
23-04-2020,1
28-04-2020,2
29-04-2020,2
01-05-2020,1
02-05-2020,1
03-05-2020,1
07-05-2020,1
08-05-2020,1
09-05-2020,1
24-05-2020,3
25-05-2020,3
27-05-2020,3
28-05-2020,5
29-05-2020,5
30-05-2020,2
31-05-2020,2
01-06-2020,2
03-06-2020,1
04-06-2020,2
05-06-2020,7
06-06-2020,6
07-06-2020,6
13-07-2020,1
01-09-2020,1
02-09-2020,2
03-09-2020,1
07-09-2020,1
08-09-2020,1
11-09-2020,6
12-09-2020,9
13-09-2020,1
14-09-2020,1
17-09-2020,4
18-09-2020,5
19-09-2020,2
20-09-2020,1
21-09-2020,1
24-09-2020,1
25-09-2020,4
26-09-2020,1
27-09-2020,1
28-09-2020,1
29-09-2020,1
01-10-2020,9
02-10-2020,28
03-10-2020,31
04-10-2020,4
05-10-2020,4
06-10-2020,7
07-10-2020,8
08-10-2020,4
09-10-2020,14
10-10-2020,26
11-10-2020,14
12-10-2020,10
13-10-2020,7
14-10-2020,6
15-10-2020,10
16-10-2020,16
17-10-2020,28
18-10-2020,14
19-10-2020,7
20-10-2020,7
21-10-2020,12
22-10-2020,12
23-10-2020,31
24-10-2020,44
25-10-2020,44
26-10-2020,13
27-10-2020,8
28-10-2020,4
29-10-2020,12
30-10-2020,38
31-10-2020,48
01-11-2020,22
02-11-2020,21
03-11-2020,21
04-11-2020,12
05-11-2020,9
06-11-2020,25
07-11-2020,36
08-11-2020,23
09-11-2020,16
10-11-2020,12
11-11-2020,10
12-11-2020,5
13-11-2020,21
14-11-2020,38
15-11-2020,28
16-11-2020,17
17-11-2020,21
18-11-2020,8
19-11-2020,8
20-11-2020,15
21-11-2020,34
22-11-2020,34
23-11-2020,20
24-11-2020,21
25-11-2020,18
26-11-2020,17
27-11-2020,27
28-11-2020,35
29-11-2020,19
